food,Caloric Value,Fat,Carbohydrates,Sugars,Protein
fruit jam,56,0.095,13.8,9.7,0.0
corn rice,110,0.3,25.2,3.0,1.8
burrito with beans,224,6.7,35.7,0.0,7.0
spinach souffle,230,17.6,8.0,2.5,10.7
refried red beans,336,16.1,36.0,0.0,11.7
fried rice,228,3.2,43.4,0.6,6.5
baked beans,310,10.3,43.3,0.0,11.1
fruit burrito,231,9.5,35.0,0.0,2.5
spinach spaghetti cooked,182,0.9,36.6,0.0,6.4
pasta with sliced franks in tomato sauce,227,6.0,32.0,8.0,11.0
pasta with tomato sauce,176,1.8,35.1,10.1,5.6
spinach pasta cooked,37,0.3,7.1,0.0,1.4
tomato soup canned,139,3.3,22.6,16.5,6.3
cream of onion soup,268,12.8,31.7,11.1,6.7
chili with beans canned,287,14.1,30.5,3.0,14.6
tomato soup,98,0.7,22.5,12.2,2.2
chili without beans canned,283,17.0,14.6,0.0,18.1
tomato vegetable soup,54,0.8,9.9,2.4,1.9
cream of rice coup,127,0.2,28.1,0.022,2.2
tomato rice soup,240,5.5,44.1,15.2,4.2
tomato bisque soup,248,5.0,47.7,0.0,4.5
onion soup,113,3.5,16.4,6.7,7.5
onion rings fried,27,1.6,2.8,0.4,0.3
onion rings burger king,379,23.0,39.7,4.9,3.5
sardines in tomato sauce canned,165,9.3,0.5,0.4,18.6
rice sake,197,0.0,7.4,0.0,0.7
chickpea flour,356,6.2,53.2,10.0,20.6
fruit fried pie,404,20.6,54.5,27.4,3.8
danish pastry with nuts,280,16.4,29.7,16.8,4.6
fruitcake,139,3.9,26.5,11.8,1.2
danish pastry with fruit,335,15.9,45.1,0.0,4.8
fruit coffeecake,156,5.1,25.8,0.0,2.6
vanilla fudge with nuts,123,3.9,21.1,20.1,0.8
peanuts chocolate coated,21,1.3,2.0,1.5,0.5
caramel with nuts chocolate coated,66,2.9,8.5,5.8,1.3
fruit juice bar,67,0.089,15.6,13.5,0.9
chocolate coffee beans,155,9.4,15.6,14.4,2.1
nougat with almonds,56,0.2,12.9,11.7,0.5
sugar coated almonds,17,0.6,2.4,2.2,0.4
fruit leather,52,0.4,12.0,6.9,0.029
jellybeans,4,0.043,1.0,0.8,0.0
crispy brown rice,124,1.1,27.5,2.9,2.3
rice bran,373,24.6,58.6,1.1,15.8
quinoa cooked,222,3.6,39.4,1.6,8.1
oats,39,0.7,6.6,0.0,1.7
quinoa dry,221,3.6,38.5,0.0,8.5
almond granola bar,119,6.1,14.9,0.0,1.8
fruit granola bar,82,0.2,18.6,13.3,1.4
almond rice bar,128,5.7,18.1,0.0,2.0
fruit nut squares,55,1.3,10.3,6.4,0.3
rice wheat cereal bar,90,2.0,16.0,7.0,2.0
crisped rice bar,113,3.8,20.4,0.0,1.4
rice pilaf cooked,352,8.8,61.1,0.6,7.0
wild rice cooked,166,0.6,35.0,1.2,6.5
white rice pasta cooked,246,5.7,43.3,0.0,5.1
rice crisps,107,0.4,24.1,2.3,1.8
instant white rice cooked,193,0.8,41.4,0.0,3.6
rice cracker cake,111,1.2,23.0,0.2,2.0
parboiled white rice cooked,194,0.6,41.2,0.2,4.6
white rice steamed,199,0.4,44.7,0.0,4.2
brown rice cake,35,0.3,7.3,0.047,0.7
glutinous white rice cooked,169,0.3,36.7,0.078,3.5
brown rice cooked,218,1.6,45.8,0.7,4.5
white rice cooked,205,0.4,44.5,0.015,4.3
kiwifruit gold,51,0.2,12.8,10.0,0.8
kiwifruit green,42,0.4,10.1,6.2,0.8
fruit walnut salad mcdonalds,312,13.3,43.8,32.9,4.8
grapefruit,53,0.2,13.3,8.6,1.0
breadfruit,227,0.5,59.7,24.2,2.4
carambola starfruit,26,0.3,5.7,3.4,0.9
white grapefruit,78,0.2,19.8,17.3,1.6
fruit cocktail canned,109,0.053,28.1,25.7,1.1
fruit salad canned,125,0.008,32.5,0.0,1.3
grapefruit canned,88,0.2,22.3,21.4,1.4
jackfruit,33,0.2,8.1,6.7,0.6
passion fruit,17,0.1,4.2,2.0,0.4
coriander seeds,5,0.3,1.0,0.0,0.2
garlic powder,10,0.029,2.3,0.068,0.5
garlic,4,0.026,0.9,0.043,0.2
onion powder,8,0.024,1.9,0.2,0.2
fava beans cooked,187,0.7,33.4,3.1,12.9
chickpeas canned,352,7.0,57.0,0.0,17.8
yellow beans cooked,255,1.9,44.7,0.0,16.2
mung beans cooked,212,0.8,38.7,4.0,14.2
white beans canned,299,0.8,55.5,0.8,19.0
pink beans cooked,252,0.8,47.2,0.6,15.3
snap beans cooked,44,0.4,9.9,1.9,2.4
hyacinth beans cooked,227,1.1,40.2,0.0,15.8
pinto beans cooked,245,1.1,44.8,0.6,15.4
winged beans cooked,253,10.0,25.7,0.0,18.3
lima beans canned,190,0.4,35.9,0.0,11.9
snap beans canned,66,0.4,15.4,0.0,3.5
navy beans canned,296,1.1,53.6,0.7,19.7
black turtle beans cooked,241,0.6,45.0,0.6,15.1
white beans cooked,249,0.6,44.9,0.6,17.4
cranberry beans cooked,241,0.8,43.3,0.0,16.5
lentils cooked,230,0.8,39.9,3.6,17.9
baked beans canned,239,0.9,53.7,20.2,12.1
cranberry beans canned,216,0.7,39.3,0.0,14.4
black beans cooked,227,0.9,40.8,0.0,15.2
lima beans cooked,216,0.7,39.3,5.5,14.7
fava beans canned,182,0.6,31.8,0.0,14.0
yellow snap beans canned,36,0.2,8.4,0.0,1.9
navy beans cooked,255,1.1,47.4,0.7,15.0
mothbeans cooked,207,1.0,37.1,0.0,13.8
